Model,Label,Rebalancing,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
GBDT,Country,Oversample,0.386,0.398,0.386,0.381
GBDT,Country,None,0.354,0.484,0.354,0.383
GBDT,Region,Oversample,0.444,0.473,0.444,0.438
GBDT,Region,None,0.416,0.454,0.416,0.416
RF,Country,Oversample,0.41,0.49,0.41,0.429
RF,Country,None,0.417,0.529,0.417,0.449
RF,Region,Oversample,0.583,0.568,0.583,0.561
RF,Region,None,0.546,0.57,0.546,0.546
LinearSVC,Country,Oversample,0.356,0.369,0.356,0.356
LinearSVC,Country,None,0.362,0.381,0.362,0.366
LinearSVC,Region,Oversample,0.439,0.444,0.439,0.429
LinearSVC,Region,None,0.405,0.393,0.405,0.387
