Model,Label,Rebalancing,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
GBDT,Country,Oversample,0.363,0.457,0.363,0.391
GBDT,Country,None,0.351,0.392,0.351,0.36
GBDT,Region,Oversample,0.461,0.454,0.461,0.448
GBDT,Region,None,0.421,0.443,0.421,0.422
RF,Country,Oversample,0.455,0.62,0.455,0.498
RF,Country,None,0.43,0.598,0.43,0.468
RF,Region,Oversample,0.576,0.596,0.576,0.563
RF,Region,None,0.537,0.587,0.537,0.542
LinearSVC,Country,Oversample,0.357,0.403,0.357,0.362
LinearSVC,Country,None,0.336,0.382,0.336,0.342
LinearSVC,Region,Oversample,0.38,0.439,0.38,0.392
LinearSVC,Region,None,0.39,0.428,0.39,0.399
