Model,Label,Rebalancing,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
GBDT,Country,Oversample,0.379,0.419,0.379,0.38
GBDT,Country,None,0.339,0.397,0.339,0.359
GBDT,Region,Oversample,0.426,0.428,0.426,0.417
GBDT,Region,None,0.425,0.474,0.425,0.439
RF,Country,Oversample,0.47,0.523,0.47,0.487
RF,Country,None,0.387,0.528,0.387,0.415
RF,Region,Oversample,0.561,0.58,0.561,0.544
RF,Region,None,0.487,0.597,0.487,0.478
LinearSVC,Country,Oversample,0.416,0.506,0.416,0.447
LinearSVC,Country,None,0.416,0.483,0.416,0.438
LinearSVC,Region,Oversample,0.479,0.508,0.479,0.489
LinearSVC,Region,None,0.479,0.508,0.479,0.489
