Model,Label,Rebalancing,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
GBDT,Country,Oversample,0.334,0.362,0.334,0.342
GBDT,Country,None,0.317,0.394,0.317,0.336
GBDT,Region,Oversample,0.451,0.431,0.451,0.433
GBDT,Region,None,0.411,0.399,0.411,0.395
RF,Country,Oversample,0.346,0.365,0.346,0.344
RF,Country,None,0.328,0.418,0.328,0.346
RF,Region,Oversample,0.478,0.479,0.478,0.466
RF,Region,None,0.459,0.516,0.459,0.477
LinearSVC,Country,Oversample,0.321,0.33,0.321,0.32
LinearSVC,Country,None,0.332,0.36,0.332,0.338
LinearSVC,Region,Oversample,0.322,0.372,0.322,0.333
LinearSVC,Region,None,0.355,0.401,0.355,0.364
