Model,Label,Rebalancing,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
GBDT,Country,Oversample,0.362,0.365,0.362,0.328
GBDT,Country,None,0.243,0.283,0.243,0.258
GBDT,Region,Oversample,0.406,0.309,0.406,0.338
GBDT,Region,None,0.361,0.434,0.361,0.382
RF,Country,Oversample,0.282,0.399,0.282,0.311
RF,Country,None,0.234,0.495,0.234,0.287
RF,Region,Oversample,0.379,0.454,0.379,0.398
RF,Region,None,0.344,0.558,0.344,0.402
LinearSVC,Country,Oversample,0.3,0.224,0.3,0.248
LinearSVC,Country,None,0.281,0.23,0.281,0.24
LinearSVC,Region,Oversample,0.29,0.261,0.29,0.264
LinearSVC,Region,None,0.327,0.287,0.327,0.301
