Model,Label,Rebalancing,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
GBDT,Country,Oversample,0.34,0.409,0.34,0.354
GBDT,Country,None,0.308,0.395,0.308,0.326
GBDT,Region,Oversample,0.49,0.45,0.49,0.46
GBDT,Region,None,0.407,0.415,0.407,0.406
RF,Country,Oversample,0.368,0.372,0.368,0.362
RF,Country,None,0.398,0.424,0.398,0.401
RF,Region,Oversample,0.455,0.44,0.455,0.436
RF,Region,None,0.448,0.449,0.448,0.438
LinearSVC,Country,Oversample,0.361,0.37,0.361,0.356
LinearSVC,Country,None,0.367,0.363,0.367,0.359
LinearSVC,Region,Oversample,0.368,0.367,0.368,0.364
LinearSVC,Region,None,0.385,0.376,0.385,0.375
